name	city	value	year	month	day
Taiwan2006	台湾	39	2006	7	23
Taiwan2007	台湾	29	2007	9	23
GuangdongOpen2007	广东	56	2007	10	1
BeijingOpen2007	北京	59	2007	12	15
BeijingSpringOpen2008	北京	54	2008	5	2
TaiwanSummerOpen2008	台湾	71	2008	7	13
HongKongOpen2008	香港	90	2008	7	27
SouthTaiwanSummerOpen2008	台湾	43	2008	8	24
ShanghaiOpen2008	上海	37	2008	8	30
GuangdongOpen2008	广东	149	2008	10	1
BeijingFallOpen2008	北京	79	2008	11	2
NanjingOpen2008	江苏	64	2008	12	14
TaiwanWinterOpen2009	台湾	97	2009	2	8
BeijingSpringOpen2009	北京	103	2009	2	21
ShijiazhuangOpen2009	河北	48	2009	3	15
QingmingFestivalOpen2009	上海	63	2009	4	6
BeijingMetropolisOpen2009	北京	149	2009	5	2
DuanwuFestivalOpen2009	辽宁	119	2009	5	29
TaiwanSpringOpen2009	台湾	79	2009	5	31
XianOpen2009	陕西	90	2009	6	28
HongKongOpen2009	香港	102	2009	7	18
TaipeiPyraminx2009	台湾	21	2009	7	26
TaichungPyraminx2009	台湾	17	2009	7	28
ChiayiPyraminx2009	台湾	12	2009	7	31
ShanghaiWeisuoOpen2009	上海	101	2009	8	9
MacauOpen2009	澳门	35	2009	8	15
BeijingSummerOpen2009	北京	162	2009	8	16
ShenzhenSummerOpen2009	广东	97	2009	8	22
TaiwanSummerOpen2009	台湾	53	2009	8	22
MaruCubeDay2009	台湾	33	2009	9	5
GuangdongOpen2009	广东	162	2009	10	1
HarbinOpen2009	黑龙江	102	2009	11	8
NanjingOpen2009	江苏	94	2009	12	6
BeijingWinter2009	北京	38	2009	12	20
ChangchunOpen2010	吉林	90	2010	1	2
HangzhouOpen2010	浙江	75	2010	1	31
TaiwanWinterOpen2010	台湾	85	2010	2	6
ShanghaiWinter2010	上海	69	2010	2	7
XianSpring2010	陕西	69	2010	4	4
PKUFMC2010	北京	16	2010	4	10
TaiwanSpring2010	台湾	71	2010	4	11
NanjingSpringOpen2010	江苏	93	2010	4	25
HenanOpen2010	河南	90	2010	5	2
BUAAOpen2010	北京	127	2010	5	9
BeijingSideEventsSupplement2010	北京	26	2010	5	23
Taiyuan2010	山西	62	2010	5	30
HongKongCubeDay2010	香港	32	2010	6	5
TaiwanBigCube2010	台湾	28	2010	6	5
GuangzhouBigCubes2010	广东	45	2010	7	11
HunanOpen2010	湖南	45	2010	7	18
InnerMongolia2010	内蒙古	73	2010	7	24
ChangChun2010	吉林	94	2010	8	1
HongKongOpen2010	香港	49	2010	8	7
ShantouOpen2010	广东	64	2010	8	8
ShanghaiOpen2010	上海	90	2010	8	14
BeijingMangshanOpen2010	北京	23	2010	8	28
TaiwanSummer2010	台湾	95	2010	8	28
Shandong2010	山东	43	2010	9	12
XianAutumn2010	陕西	48	2010	9	18
GuangdongOpen2010	广东	102	2010	10	3
GuangzhouSmallCubes2010	广东	46	2010	11	7
WuhanOpen2010	湖北	61	2010	11	14
TianjinOpen2010	天津	84	2010	11	21
BeijingNoCubes2010	北京	34	2010	11	28
NanjingWinter2010	江苏	70	2010	12	5
TaiwanAutumn2010	台湾	38	2010	12	5
ShenyangBoxingDay2010	辽宁	65	2010	12	26
XianWinter2010	陕西	38	2010	12	26
BeijingWinter2011	北京	57	2011	1	15
ChangzhouSpring2011	江苏	40	2011	1	23
TaiwanWinterOpen2011	台湾	69	2011	2	12
XinXiangSpring2011	河南	25	2011	2	13
BeijingFebruary2011	北京	21	2011	2	20
XianSpring2011	陕西	36	2011	3	6
BeijingAfterDark2011	北京	14	2011	3	19
OneToEight2011	广东	59	2011	3	20
TaiwanSpringOpen2011	台湾	50	2011	4	2
ShanghaiSpring2011	上海	17	2011	4	9
XianSummer2011	陕西	32	2011	4	10
BeijingSpring2011	北京	91	2011	4	23
GuangzhouHaizhu2011	广东	30	2011	4	24
FloatingClouds2011	陕西	35	2011	5	1
ShenzhenUniversity2011	广东	47	2011	5	1
NanjingSpring2011	江苏	90	2011	5	14
BeijingFootsteps2011	北京	14	2011	5	15
Taiyuan2011	山西	54	2011	5	21
CubikBoxCup2011	台湾	54	2011	6	4
HenanUniversityOpen2011	河南	31	2011	6	19
YingkouOpen2011	辽宁	28	2011	6	19
CyclopsOpen2011	北京	17	2011	6	25
ZhengzhouOpen2011	河南	12	2011	6	26
HefeiOpen2011	安徽	45	2011	7	16
XiamenOpen2011	福建	67	2011	7	16
BeijingSummer2011	北京	85	2011	7	31
GuangzhouSummerVacation2011	广东	73	2011	7	31
ShandongOpen2011	山东	65	2011	7	31
XiningSummer2011	青海	40	2011	8	6
XianLucky2011	陕西	30	2011	8	14
HangzhouOpen2011	浙江	92	2011	8	20
TaiwanSummer2011	台湾	81	2011	8	21
ShanghaiMeatballFall2011	上海	32	2011	8	27
XianAutumn2011	陕西	41	2011	10	1
GuangzhouCubeDay2011	广东	16	2011	10	2
SuzhouOpen2011	江苏	43	2011	10	3
ShenYangOpen2011	辽宁	154	2011	10	4
TaipeiOpen2011	台湾	65	2011	10	8
NanjingAutumn2011	江苏	39	2011	10	30
ChinaFMBeijing2011	北京	13	2011	11	6
ChinaFMGuangzhou2011	广东	6	2011	11	6
ChinaFMShanghai2011	上海	13	2011	11	6
ChinaFMShenyang2011	辽宁	3	2011	11	6
ChinaFMXian2011	陕西	15	2011	11	6
ChinaFMZhengzhou2011	河南	3	2011	11	6
ZhengzhouAutumn2011	河南	48	2011	11	20
ShanghaiPortOpen2011	上海	37	2011	11	26
ChangshaOpen2011	湖南	41	2011	11	27
GuangzhouWinter2011	广东	42	2011	12	3
HumanRightsDay2011	北京	66	2011	12	10
ShanghaiWinter2011	上海	22	2011	12	24
XianWinter2011	陕西	14	2011	12	24
TianjinOpen2011	天津	42	2011	12	25
XianYangling2012	陕西	20	2012	1	1
HenanCountryside2012	河南	12	2012	1	23
TaiwanWinter2012	台湾	62	2012	2	11
HotSpringFestival2012	北京	12	2012	2	18
HefeiSpring2012	安徽	59	2012	3	10
NanjingSpring2012	江苏	96	2012	3	25
QingmingOpen2012	陕西	40	2012	4	4
ShanghaiDonghua2012	上海	52	2012	4	7
ChangshaSpring2012	湖南	25	2012	4	8
XianCherryBlossom2012	陕西	38	2012	4	15
InnerMongolia2012	内蒙古	40	2012	5	13
ChinaTourismDay2012	北京	43	2012	5	19
TaiyuanOpen2012	山西	54	2012	5	19
