competitionId	name	cityname	countryId	competitors	year	month	day
Taiwan2006	Taiwanese Championship 2006	Taichung	Taiwan	39	2006	7	23
Taiwan2007	Taiwanese Championship 2007	Taichung	Taiwan	29	2007	9	23
GuangdongOpen2007	Guangdong Open 2007	Guangdong	China	56	2007	10	1
BeijingOpen2007	Beijing Open 2007	Beijing	China	59	2007	12	15
BeijingSpringOpen2008	Beijing Spring Open 2008	Beijing	China	54	2008	5	2
TaiwanSummerOpen2008	Taiwan Summer Open 2008	Taipei	Taiwan	71	2008	7	13
HongKongOpen2008	Hong Kong Open 2008	Hong Kong	Hong Kong	90	2008	7	27
SouthTaiwanSummerOpen2008	South Taiwan Summer Open 2008	Kaohsiung	Taiwan	43	2008	8	24
ShanghaiOpen2008	Shanghai Open 2008	Shanghai	China	37	2008	8	30
GuangdongOpen2008	Guangdong Open 2008	Guangzhou, Guangdong Province	China	149	2008	10	1
BeijingFallOpen2008	Beijing Fall Open 2008	Beijing	China	79	2008	11	2
NanjingOpen2008	Nanjing Open 2008	Nanjing	China	64	2008	12	14
TaiwanWinterOpen2009	Taiwan Winter Open 2009	Taipei	Taiwan	97	2009	2	8
BeijingSpringOpen2009	Beijing Spring Open 2009	Beijing	China	103	2009	2	21
ShijiazhuangOpen2009	Shijiazhuang Open 2009	Shijiazhuang	China	48	2009	3	15
QingmingFestivalOpen2009	Qingming Festival Open 2009	Shanghai	China	63	2009	4	6
BeijingMetropolisOpen2009	Beijing Metropolis Open 2009	Beijing	China	149	2009	5	2
DuanwuFestivalOpen2009	Duanwu Festival Open 2009	Shenyang	China	119	2009	5	29
TaiwanSpringOpen2009	Taiwan Spring Open 2009	Taipei	Taiwan	79	2009	5	31
XianOpen2009	Xi'an Open 2009	Xi'an, Shaanxi Province	China	90	2009	6	28
HongKongOpen2009	Hong Kong Open 2009	Hong Kong	Hong Kong	102	2009	7	18
TaipeiPyraminx2009	Taipei Pyraminx Competition 2009	Taipei	Taiwan	21	2009	7	26
TaichungPyraminx2009	Taichung Pyraminx Competition 2009	Taichung	Taiwan	17	2009	7	28
ChiayiPyraminx2009	Chia-yi Pyraminx Competition 2009	Chia-yi	Taiwan	12	2009	7	31
ShanghaiWeisuoOpen2009	Shanghai Weisuo Open 2009	Shanghai	China	101	2009	8	9
MacauOpen2009	Macau Rubik's Open 2009	Macau	Macau	35	2009	8	15
BeijingSummerOpen2009	Beijing Summer Open 2009	Beijing	China	162	2009	8	16
ShenzhenSummerOpen2009	Shenzhen Summer Open 2009	Shenzhen, Guangdong Province	China	97	2009	8	22
TaiwanSummerOpen2009	Taiwan Summer Open 2009	Kaohsiung	Taiwan	53	2009	8	22
MaruCubeDay2009	Maru Cube Day 2009	Tainan	Taiwan	33	2009	9	5
GuangdongOpen2009	Guangdong Open 2009	Guangzhou, Guangdong Province	China	162	2009	10	1
HarbinOpen2009	Harbin Open 2009	Harbin	China	102	2009	11	8
NanjingOpen2009	Nanjing Open 2009	Nanjing	China	94	2009	12	6
BeijingWinter2009	Beijing Winter 2009	Beijing	China	38	2009	12	20
ChangchunOpen2010	Changchun Open 2010	Changchun	China	90	2010	1	2
HangzhouOpen2010	Hangzhou Open 2010	Hangzhou, Zhejiang	China	75	2010	1	31
TaiwanWinterOpen2010	Taiwan Winter Open 2010	Taipei	Taiwan	85	2010	2	6
ShanghaiWinter2010	Shanghai Winter Cubing Festival 2010	Shanghai	China	69	2010	2	7
XianSpring2010	Xi'an Spring 2010	Xi'an, Shaanxi Province	China	69	2010	4	4
PKUFMC2010	PKU Fewest Moves 2010	Beijing	China	16	2010	4	10
TaiwanSpring2010	Taiwan Spring Open 2010	Taoyuan	Taiwan	71	2010	4	11
